Date,Open,High,Low,Close,Volume,Adj Close
2002-12-31,16.35,16.620001,16.18,16.35,8761000,8.175
2002-12-30,16.450001,16.809999,16.18,16.48,11204800,8.24
2002-12-27,16.860001,17.379999,16.43,16.58,9223400,8.29
2002-12-26,17.32,17.540001,16.85,16.950001,9446200,8.475
2002-12-24,17.33,17.799999,17.32,17.370001,6323400,8.685
2002-12-23,16.799999,17.780001,16.57,17.719999,14434400,8.86
2002-12-20,17.01,17.15,16.700001,17.08,18247400,8.54
2002-12-19,16.57,17.120001,16.10,16.709999,21200200,8.355
2002-12-18,17.219999,17.35,16.59,16.799999,13168600,8.40
2002-12-17,17.10,17.75,17.09,17.52,15719400,8.76
2002-12-16,17.379999,17.60,17.040001,17.299999,18587400,8.65
2002-12-13,17.40,18.190001,17.280001,17.40,31478800,8.70
2002-12-12,16.799999,17.85,16.360001,17.68,25788000,8.84
2002-12-11,16.299999,16.780001,16.09,16.459999,10198600,8.23
2002-12-10,15.87,16.690001,15.87,16.27,16256400,8.135
2002-12-09,16.60,16.66,15.71,15.74,12543800,7.87
2002-12-06,16.32,16.940001,16.17,16.74,9903400,8.37
2002-12-05,17.059999,17.120001,16.50,16.549999,10059200,8.275
2002-12-04,17.16,17.25,16.57,16.74,21054800,8.37
2002-12-03,17.360001,17.620001,17.219999,17.360001,14968400,8.68
2002-12-02,18.700001,18.969999,17.92,18.040001,15975200,9.02
2002-11-29,18.49,18.60,18.09,18.27,8669600,9.135
2002-11-27,18.33,18.59,18.17,18.389999,12832400,9.195
2002-11-26,18.42,18.50,17.90,18.129999,18048200,9.065
2002-11-25,18.50,18.60,17.85,18.389999,15369200,9.195
2002-11-22,18.700001,18.76,18.110001,18.40,16801400,9.20
2002-11-21,17.99,18.799999,17.93,18.309999,27018400,9.155
2002-11-20,17.17,18.01,16.85,18.00,21584600,9.00
2002-11-19,17.26,17.59,16.57,16.75,21809200,8.375
2002-11-18,17.40,18.00,17.389999,17.76,19682600,8.88
2002-11-15,16.379999,17.51,16.00,17.450001,29216000,8.725
2002-11-14,15.96,16.75,15.85,16.700001,21356200,8.35
2002-11-13,15.39,15.90,15.08,15.44,21902200,7.72
2002-11-12,15.09,15.73,14.84,15.48,16587000,7.74
2002-11-11,15.53,15.70,14.85,14.92,15788200,7.46
2002-11-08,15.48,15.94,15.36,15.68,18175400,7.84
2002-11-07,16.15,16.18,15.33,15.60,45190000,7.80
2002-11-06,17.09,17.440001,16.620001,17.379999,50040000,8.69
2002-11-05,16.299999,17.09,16.26,17.030001,24968000,8.515
2002-11-04,15.51,17.49,15.50,16.77,45498600,8.385
2002-11-01,14.70,15.23,14.50,15.15,19034000,7.575
2002-10-31,15.02,15.32,14.71,14.92,20530800,7.46
2002-10-30,14.29,15.06,14.10,14.98,18673200,7.49
2002-10-29,14.51,14.80,14.22,14.30,19701000,7.15
2002-10-28,15.35,15.35,14.53,14.66,20800000,7.33
2002-10-25,14.85,15.04,14.70,14.92,24087400,7.46
2002-10-24,15.40,15.59,14.85,15.06,35035000,7.53
2002-10-23,14.56,15.07,14.35,15.07,29811600,7.535
2002-10-22,14.51,14.91,14.31,14.85,29231800,7.425
2002-10-21,14.61,15.10,14.25,14.96,35637800,7.48
2002-10-18,14.41,15.05,14.29,15.03,30130400,7.515
2002-10-17,14.74,14.98,13.91,14.67,45500400,7.335
2002-10-16,13.80,14.83,13.72,14.68,45494600,7.34
2002-10-15,14.98,15.23,14.14,14.42,75204200,7.21
2002-10-14,12.89,14.70,12.88,14.26,65224200,7.13
2002-10-11,12.25,13.50,12.25,13.36,65590000,6.68
2002-10-10,11.36,12.30,11.30,12.27,125565800,6.135
2002-10-09,9.44,10.09,9.28,9.98,38622600,4.99
2002-10-08,9.38,9.58,9.06,9.50,16115000,4.75
2002-10-07,9.25,9.49,9.01,9.08,10617800,4.54
2002-10-04,9.54,9.57,9.25,9.34,11016800,4.67
2002-10-03,9.56,10.00,9.30,9.39,12065600,4.695
2002-10-02,9.67,10.28,9.40,9.48,17789000,4.74
2002-10-01,9.90,9.94,9.32,9.70,18278800,4.85
2002-09-30,10.38,10.38,9.54,9.57,21264200,4.785
2002-09-27,10.20,10.82,10.15,10.58,14591000,5.29
2002-09-26,10.23,10.71,10.12,10.59,36120400,5.295
2002-09-25,9.25,10.06,9.05,9.91,24466200,4.955
2002-09-24,8.95,9.46,8.94,9.00,18029000,4.50
2002-09-23,9.58,9.65,9.00,9.08,16616400,4.54
2002-09-20,9.70,9.77,9.40,9.75,12771200,4.875
2002-09-19,9.56,9.90,9.50,9.50,9647400,4.75
2002-09-18,10.00,10.12,9.67,10.00,9826200,5.00
2002-09-17,10.65,10.68,10.00,10.01,10153200,5.005
2002-09-16,10.46,10.59,10.18,10.18,9599200,5.09
2002-09-13,10.20,10.65,10.03,10.46,13731400,5.23
2002-09-12,10.48,10.62,10.25,10.35,20129400,5.175
2002-09-11,10.43,11.10,10.43,10.72,15065800,5.36
2002-09-10,10.15,10.68,10.13,10.46,19370400,5.23
2002-09-09,9.63,10.36,9.52,10.15,18977400,5.075
2002-09-06,9.56,10.02,9.51,9.94,17477400,4.97
2002-09-05,9.63,9.63,9.14,9.19,19218400,4.595
2002-09-04,9.78,9.95,9.43,9.77,26636600,4.885
2002-09-03,10.04,10.08,9.61,9.71,26393200,4.855
2002-08-30,10.17,10.45,10.01,10.29,23827400,5.145
2002-08-29,9.74,10.41,9.72,10.25,70994200,5.125
2002-08-28,10.64,10.65,9.13,9.13,55790200,4.565
2002-08-27,11.53,11.53,10.56,10.70,25004800,5.35
2002-08-26,12.16,12.17,11.14,11.31,22961600,5.655
2002-08-23,12.75,12.77,11.80,12.02,17538200,6.01
2002-08-22,13.02,13.10,12.53,12.80,21010800,6.40
2002-08-21,13.35,13.48,12.70,12.90,20940400,6.45
2002-08-20,13.17,13.46,12.90,13.09,16508200,6.545
2002-08-19,12.05,13.55,12.04,13.47,25111800,6.735
2002-08-16,12.12,12.27,11.66,12.10,14823000,6.05
2002-08-15,11.90,12.29,11.76,12.22,13778400,6.11
2002-08-14,11.13,11.97,10.93,11.71,19843800,5.855
2002-08-13,11.89,12.45,11.16,11.19,20229400,5.595
2002-08-12,11.68,11.98,11.49,11.97,9145000,5.985
2002-08-09,11.75,12.19,11.63,11.96,9686400,5.98
2002-08-08,11.39,12.10,11.30,11.96,13103000,5.98
2002-08-07,12.01,12.19,10.75,11.43,16859000,5.715
2002-08-06,11.24,11.94,11.11,11.50,15271000,5.75
2002-08-05,11.59,11.63,10.75,10.89,16354600,5.445
2002-08-02,12.17,12.18,11.32,11.58,17923400,5.79
2002-08-01,13.06,13.07,12.11,12.16,16597800,6.08
2002-07-31,13.16,13.48,12.93,13.17,14406800,6.585
2002-07-30,12.92,13.89,12.87,13.39,19163200,6.695
2002-07-29,12.95,13.27,12.84,13.19,17167200,6.595
2002-07-26,12.47,12.85,12.19,12.70,24620400,6.35
2002-07-25,13.06,13.14,11.91,12.16,39191600,6.08
2002-07-24,12.30,13.59,11.90,13.58,30755600,6.79
2002-07-23,13.54,13.69,12.65,12.66,24089400,6.33
2002-07-22,13.16,13.97,12.84,13.32,26279400,6.66
2002-07-19,13.34,13.48,12.98,13.37,19755600,6.685
2002-07-18,14.07,14.25,13.53,13.58,21366600,6.79
2002-07-17,14.24,14.80,13.92,14.26,31584000,7.13
2002-07-16,12.86,14.33,12.82,13.76,34376200,6.88
2002-07-15,12.81,13.67,12.36,13.06,39270800,6.53
2002-07-12,12.79,13.33,12.62,12.94,35516000,6.47
2002-07-11,11.15,13.16,11.11,12.92,80174600,6.46
2002-07-10,12.92,13.07,12.06,12.19,43756600,6.095
2002-07-09,12.98,13.12,12.55,12.70,18565400,6.35
2002-07-08,13.30,13.80,12.85,12.89,21260400,6.445
2002-07-05,13.18,13.65,13.00,13.62,9540600,6.81
2002-07-03,11.95,12.98,11.87,12.78,25270400,6.39
2002-07-02,13.58,13.59,11.66,11.88,34056000,5.94
2002-07-01,14.76,14.86,13.55,13.63,15985000,6.815
2002-06-28,14.10,14.87,13.92,14.76,13724200,7.38
2002-06-27,14.43,14.70,13.24,14.18,23792600,7.09
2002-06-26,13.03,14.70,12.82,14.18,27075400,7.09
2002-06-25,15.20,15.37,13.47,13.72,29930600,6.86
2002-06-24,15.39,15.40,14.53,15.08,19801800,7.54
2002-06-21,15.06,15.60,14.90,15.49,17888200,7.745
2002-06-20,16.030001,16.219999,15.47,15.65,14256800,7.825
2002-06-19,16.459999,16.870001,16.01,16.02,13765800,8.01
2002-06-18,16.52,17.049999,16.450001,16.65,11408600,8.325
2002-06-17,15.91,17.07,15.77,16.780001,14372200,8.39
2002-06-14,15.50,16.07,15.02,15.96,13859800,7.98
2002-06-13,15.63,16.200001,15.50,15.97,10379800,7.985
2002-06-12,15.63,16.049999,15.08,15.83,17325200,7.915
2002-06-11,15.97,16.389999,15.76,15.86,10988400,7.93
2002-06-10,15.87,16.209999,15.55,15.84,9751200,7.92
2002-06-07,15.50,16.23,15.45,15.86,15696600,7.93
2002-06-06,15.97,16.42,15.71,15.99,13621000,7.995
2002-06-05,16.059999,16.09,15.49,16.01,11977400,8.005
2002-06-04,15.51,16.299999,15.15,16.00,15346800,8.00
2002-06-03,16.120001,16.40,15.65,15.68,12299800,7.84
2002-05-31,16.629999,16.700001,15.95,16.02,11485200,8.01
2002-05-30,16.360001,16.66,16.049999,16.42,9002800,8.21
2002-05-29,16.49,16.879999,16.23,16.58,10859600,8.29
2002-05-28,17.15,17.16,16.16,16.549999,9969600,8.275
2002-05-24,16.870001,17.10,16.50,17.01,8892600,8.505
2002-05-23,16.530001,17.129999,16.25,17.09,14567800,8.545
2002-05-22,16.59,17.139999,15.93,16.27,16974200,8.135
2002-05-21,17.219999,17.27,16.50,16.73,9908600,8.365
2002-05-20,17.709999,17.719999,16.889999,17.17,14262800,8.585
2002-05-17,18.190001,18.450001,17.67,18.00,12264200,9.00
2002-05-16,17.66,18.200001,17.549999,18.030001,14107400,9.015
2002-05-15,17.17,17.98,17.049999,17.780001,21283600,8.89
2002-05-14,16.690001,17.82,16.65,17.549999,24921600,8.775
2002-05-13,15.66,16.23,15.65,15.98,14218400,7.99
2002-05-10,16.200001,16.450001,15.40,15.46,17620000,7.73
2002-05-09,15.65,16.65,15.59,16.370001,22037600,8.185
2002-05-08,15.23,16.370001,15.10,16.32,21358200,8.16
2002-05-07,14.78,15.05,14.56,14.74,12768800,7.37
2002-05-06,14.64,15.26,14.39,14.60,15049000,7.30
2002-05-03,15.02,15.10,14.47,14.77,12639200,7.385
2002-05-02,15.19,15.77,14.80,15.00,21428600,7.50
2002-05-01,14.79,15.85,14.12,15.64,26775600,7.82
2002-04-30,14.22,15.05,14.16,14.76,21189800,7.38
2002-04-29,14.47,14.70,13.97,14.21,15803200,7.105
2002-04-26,14.91,14.95,14.35,14.50,19087600,7.25
2002-04-25,14.24,14.77,14.17,14.35,16614200,7.175
2002-04-24,14.68,15.09,14.50,14.61,26954000,7.305
2002-04-23,14.11,14.28,13.87,14.17,14515400,7.085
2002-04-22,14.73,14.73,13.88,14.14,19980800,7.07
2002-04-19,15.20,15.25,14.75,14.76,18159800,7.38
2002-04-18,15.77,15.84,15.00,15.06,16957400,7.53
2002-04-17,15.58,15.90,15.48,15.89,22728800,7.945
2002-04-16,15.53,15.55,15.05,15.39,29637400,7.695
2002-04-15,15.90,16.07,15.32,15.41,18348600,7.705
2002-04-12,15.82,15.99,15.50,15.72,23181000,7.86
2002-04-11,16.860001,16.870001,15.26,15.45,68269000,7.725
2002-04-10,18.700001,18.809999,17.50,18.440001,33023200,9.22
2002-04-09,18.950001,19.15,18.389999,18.459999,21637800,9.23
2002-04-08,17.60,18.85,17.35,18.84,26425800,9.42
2002-04-05,17.74,18.48,17.709999,18.17,18153400,9.085
2002-04-04,17.809999,17.82,17.10,17.66,15151200,8.83
2002-04-03,18.23,18.280001,17.51,17.82,14094000,8.91
2002-04-02,18.440001,18.50,17.85,18.049999,14504000,9.025
2002-04-01,18.75,18.85,18.00,18.68,12873600,9.34
2002-03-28,18.030001,18.49,17.870001,18.469999,10132400,9.235
2002-03-27,17.709999,17.950001,17.290001,17.85,11252400,8.925
2002-03-26,17.620001,18.450001,17.57,17.690001,16236600,8.845
2002-03-25,18.40,18.879999,17.719999,17.83,10465600,8.915
2002-03-22,18.42,18.76,18.18,18.43,13243400,9.215
2002-03-21,18.35,18.75,17.60,18.59,20458800,9.295
2002-03-20,18.67,19.09,18.16,18.200001,10253600,9.10
2002-03-19,19.17,19.450001,18.99,19.09,10785200,9.545
2002-03-18,18.74,19.26,18.66,19.209999,15079000,9.605
2002-03-15,19.50,19.60,18.129999,18.719999,26581200,9.36
2002-03-14,19.040001,19.389999,18.90,19.23,11820400,9.615
2002-03-13,18.75,19.60,18.75,19.219999,16346600,9.61
2002-03-12,19.35,19.809999,18.90,19.360001,29150400,9.68
2002-03-11,18.51,20.540001,18.51,20.50,34095200,10.25
2002-03-08,18.440001,18.98,18.049999,18.93,19056800,9.465
2002-03-07,18.309999,18.50,17.620001,17.940001,16618600,8.97
2002-03-06,17.85,18.50,17.629999,18.26,23403200,9.13
2002-03-05,17.290001,18.26,17.17,18.190001,28806400,9.095
2002-03-04,17.129999,18.07,16.950001,17.809999,32436200,8.905
2002-03-01,14.93,16.690001,14.93,16.610001,33485400,8.305
2002-02-28,14.63,15.01,14.25,14.46,16732200,7.23
2002-02-27,15.09,15.38,14.45,14.55,16609200,7.275
2002-02-26,15.11,15.13,14.16,14.93,16967000,7.465
2002-02-25,14.42,15.25,14.09,15.00,19819800,7.50
2002-02-22,14.30,14.66,13.41,14.46,18192000,7.23
2002-02-21,15.15,15.35,14.35,14.44,20302000,7.22
2002-02-20,14.74,15.43,14.01,15.29,25165200,7.645
2002-02-19,15.12,15.15,14.25,14.44,24867000,7.22
2002-02-15,16.700001,16.709999,15.49,15.67,15085000,7.835
2002-02-14,16.92,17.35,16.50,16.57,13740600,8.285
2002-02-13,16.68,17.18,16.41,16.790001,24922800,8.395
2002-02-12,16.379999,16.530001,16.120001,16.33,9701200,8.165
2002-02-11,16.40,16.82,16.120001,16.549999,12847800,8.275
2002-02-08,15.41,16.719999,15.33,16.65,18556800,8.325
2002-02-07,15.66,15.75,14.95,15.35,21492200,7.675
2002-02-06,16.09,16.10,15.50,15.89,25175200,7.945
2002-02-05,15.56,16.16,15.23,15.77,21340200,7.885
2002-02-04,16.549999,16.60,15.60,15.75,17827400,7.875
2002-02-01,17.26,17.299999,16.35,16.68,13860200,8.34
2002-01-31,17.700001,17.799999,16.790001,17.24,15431600,8.62
2002-01-30,18.190001,18.200001,16.18,17.190001,37318600,8.595
2002-01-29,18.809999,18.809999,17.709999,18.18,20109600,9.09
2002-01-28,18.83,18.91,18.40,18.700001,12314400,9.35
2002-01-25,18.32,18.85,18.059999,18.68,20250600,9.34
2002-01-24,18.93,19.40,18.02,18.190001,29277400,9.095
2002-01-23,18.799999,18.85,17.969999,18.440001,21565200,9.22
2002-01-22,19.90,20.049999,18.40,18.42,28990600,9.21
2002-01-18,19.66,19.98,18.950001,19.200001,35842800,9.60
2002-01-17,19.370001,20.379999,19.25,20.120001,59843400,10.06
2002-01-16,18.92,19.08,17.799999,17.870001,39965800,8.935
2002-01-15,19.219999,19.48,18.82,19.469999,16099200,9.735
2002-01-14,19.709999,19.92,18.870001,19.01,21948400,9.505
2002-01-11,20.52,20.90,20.02,20.16,14488200,10.08
2002-01-10,20.059999,20.709999,19.950001,20.49,21084800,10.245
2002-01-09,19.799999,21.35,19.77,20.25,38134400,10.125
2002-01-08,19.40,19.73,19.25,19.530001,19021200,9.765
2002-01-07,18.700001,19.940001,18.65,19.73,29516400,9.865
2002-01-04,19.00,19.809999,18.530001,18.90,24050200,9.45
2002-01-03,18.700001,19.290001,18.540001,19.129999,23668000,9.565
2002-01-02,18.139999,18.690001,17.68,18.629999,21903600,9.315
