Date,Open,High,Low,Close,Volume,Adj Close
2003-12-31,45.049999,45.48,44.619999,45.029999,18878600,22.514999
2003-12-30,44.93,45.16,44.50,44.93,10980200,22.465
2003-12-29,44.450001,45.099998,43.810001,44.970001,13772400,22.485001
2003-12-26,44.799999,45.25,44.25,44.290001,8493400,22.145
2003-12-24,43.459999,45.34,43.439999,44.77,18166400,22.385
2003-12-23,42.349998,43.740002,42.25,43.68,16710800,21.84
2003-12-22,41.830002,42.610001,41.77,42.599998,14952400,21.299999
2003-12-19,41.93,42.299999,41.150002,42.110001,19387800,21.055
2003-12-18,41.060001,42.049999,40.759998,41.889999,16245800,20.945
2003-12-17,40.580002,40.830002,39.959999,40.73,21553600,20.365
2003-12-16,41.939999,42.189999,40.209999,40.700001,29586600,20.35
2003-12-15,43.84,44.00,42.099998,42.25,19726000,21.125
2003-12-12,43.00,43.00,42.009998,42.98,15672800,21.49
2003-12-11,41.07,43.040001,41.07,42.779999,18270000,21.389999
2003-12-10,41.560001,42.09,40.529999,41.16,20578400,20.58
2003-12-09,43.040001,43.099998,41.43,41.57,17286000,20.785
2003-12-08,42.779999,43.07,41.610001,42.779999,19364600,21.389999
2003-12-05,42.790001,43.689999,42.650002,42.849998,16190000,21.424999
2003-12-04,42.950001,43.610001,42.099998,43.130001,20857800,21.565001
2003-12-03,43.669998,43.98,42.349998,42.50,18848400,21.25
2003-12-02,43.860001,44.18,43.470001,43.509998,17536400,21.754999
2003-12-01,43.419998,44.290001,43.32,44.209999,20852000,22.105
2003-11-28,42.849998,43.25,42.689999,42.990002,6470200,21.495001
2003-11-26,42.77,43.450001,41.939999,43.080002,25370600,21.540001
2003-11-25,41.860001,42.700001,41.77,42.049999,22863800,21.025
2003-11-24,40.200001,41.869999,40.200001,41.779999,24679000,20.889999
2003-11-21,39.290001,39.720001,38.700001,39.48,20227200,19.74
2003-11-20,38.91,39.959999,38.630001,38.689999,21760400,19.344999
2003-11-19,38.48,39.610001,38.200001,39.27,37942000,19.635
2003-11-18,40.75,40.990002,37.950001,38.009998,35245800,19.004999
2003-11-17,40.919998,41.080002,38.68,40.360001,42204400,20.18
2003-11-14,42.880001,43.369999,41.52,41.630001,18739600,20.815001
2003-11-13,42.360001,43.59,42.060001,43.299999,19295200,21.65
2003-11-12,40.57,42.580002,40.529999,42.529999,21975800,21.264999
2003-11-11,41.25,41.630001,40.220001,40.619999,19698600,20.309999
2003-11-10,42.299999,42.50,41.200001,41.240002,17051200,20.620001
2003-11-07,43.189999,43.349998,42.23,42.349998,18215600,21.174999
2003-11-06,43.00,43.720001,42.549999,42.970001,23257200,21.485001
2003-11-05,43.00,44.259998,42.900002,44.040001,15054200,22.02
2003-11-04,43.900002,44.029999,43.299999,43.43,17291800,21.715
2003-11-03,43.740002,44.77,43.599998,43.93,21367400,21.965
2003-10-31,43.459999,44.00,43.189999,43.709999,19394000,21.855
2003-10-30,43.799999,44.549999,43.259998,43.720001,33259800,21.860001
2003-10-29,42.939999,43.98,42.720001,43.080002,27784800,21.540001
2003-10-28,41.490002,43.07,41.400002,43.02,25868600,21.51
2003-10-27,40.799999,41.459999,40.610001,41.169998,17490000,20.584999
2003-10-24,39.959999,40.779999,39.360001,40.529999,28786600,20.264999
2003-10-23,41.009998,41.25,39.860001,40.400002,34960400,20.200001
2003-10-22,42.150002,42.59,41.560001,41.77,23981000,20.885
2003-10-21,42.099998,43.290001,42.00,42.82,22456400,21.41
2003-10-20,42.50,42.740002,41.810001,42.369999,17092600,21.184999
2003-10-17,42.529999,42.900002,41.610001,42.240002,26315000,21.120001
2003-10-16,41.630001,42.50,41.549999,42.209999,19299800,21.105
2003-10-15,42.810001,42.810001,41.330002,41.43,23228600,20.715
2003-10-14,42.299999,42.849998,42.25,42.299999,21432800,21.15
2003-10-13,42.900002,43.00,42.09,42.900002,25207800,21.450001
2003-10-10,42.599998,43.310001,42.290001,43.16,36079200,21.58
2003-10-09,41.400002,43.720001,41.200001,42.75,110624800,21.375
2003-10-08,39.060001,39.439999,38.41,38.790001,46509600,19.395
2003-10-07,39.380001,39.900002,38.380001,38.93,43982000,19.465
2003-10-06,39.349998,39.880001,38.900002,39.779999,20135400,19.889999
2003-10-03,38.959999,39.549999,38.490002,39.240002,33854800,19.620001
2003-10-02,36.509998,38.00,36.330002,37.91,30040000,18.955
2003-10-01,36.099998,36.720001,35.00,36.400002,35383400,18.200001
2003-09-30,36.029999,36.25,35.310001,35.389999,21203000,17.695
