Date,Open,High,Low,Close,Volume,Adj Close
2012-12-31,71.879997,73.309998,71.82,73.279999,8359300,68.87428
2012-12-28,72.330002,72.68,71.970001,71.980003,3618600,67.652442
2012-12-27,72.879997,73.019997,71.940002,72.769997,3277500,68.39494
2012-12-26,73.32,73.349998,72.68,72.830002,2479600,68.451337
2012-12-24,73.199997,73.260002,73.099998,73.18,1429200,68.780293
2012-12-21,73.019997,73.540001,72.970001,73.43,4402300,69.015263
2012-12-20,73.720001,74.07,73.480003,74.059998,4601000,69.607383
2012-12-19,74.839996,74.879997,74.169998,74.199997,3682400,69.226733
2012-12-18,73.940002,74.709999,73.800003,74.660004,3438600,69.655908
2012-12-17,73.120003,73.800003,73.050003,73.800003,3289300,68.853549
2012-12-14,73.019997,73.18,72.800003,72.889999,1810600,68.004538
2012-12-13,73.599998,73.790001,73.00,73.199997,2235500,68.293758
2012-12-12,73.940002,74.139999,73.529999,73.620003,2046200,68.685613
2012-12-11,73.440002,73.919998,73.400002,73.589996,2300700,68.657618
2012-12-10,72.989998,73.269997,72.949997,73.129997,1318500,68.22845
2012-12-07,73.110001,73.190002,72.690002,73.040001,1845700,68.144486
2012-12-06,72.540001,72.860001,72.43,72.830002,1273000,67.948562
2012-12-05,72.580002,72.910004,72.040001,72.599998,1913700,67.733974
2012-12-04,72.580002,72.779999,72.260002,72.459999,1325600,67.603359
2012-12-03,73.269997,73.290001,72.510002,72.559998,1671200,67.696655
2012-11-30,72.910004,73.019997,72.650002,72.879997,1773800,67.995206
2012-11-29,72.82,73.050003,72.50,72.900002,3237100,68.01387
2012-11-28,71.650002,72.510002,71.239998,72.480003,1733100,67.622022
2012-11-27,72.169998,72.440002,71.889999,71.910004,1655500,67.090227
2012-11-26,72.059998,72.290001,71.82,72.290001,1698500,67.444755
2012-11-23,71.769997,72.379997,71.730003,72.379997,787900,67.528719
2012-11-21,71.300003,71.480003,71.18,71.449997,1144700,66.661052
2012-11-20,71.099998,71.339996,70.709999,71.269997,2151200,66.493116
2012-11-19,70.57,71.199997,70.540001,71.190002,2239700,66.418484
2012-11-16,69.470001,69.910004,68.900002,69.75,1807200,65.074998
2012-11-15,69.50,69.790001,69.07,69.370003,2332100,64.72047
2012-11-14,70.779999,70.870003,69.370003,69.550003,3587700,64.888405
2012-11-13,70.449997,71.269997,70.360001,70.540001,1497500,65.812049
2012-11-12,70.989998,71.099998,70.68,70.809998,3436500,66.063949
2012-11-09,70.540001,71.720001,70.480003,70.769997,1974100,66.026629
2012-11-08,71.599998,71.919998,70.699997,70.699997,1926100,65.961321
2012-11-07,72.620003,72.629997,71.279999,71.610001,4727300,66.810331
2012-11-06,72.900002,73.510002,72.82,73.25,1066100,68.34041
2012-11-05,72.389999,72.82,72.199997,72.699997,1368200,67.827271
2012-11-02,73.610001,73.629997,72.43,72.470001,1467200,67.61269
2012-11-01,72.540001,73.269997,72.449997,73.230003,1519100,68.321753
2012-10-31,72.580002,72.629997,72.00,72.32,1373200,67.472743
2012-10-26,72.300003,72.540001,71.800003,72.279999,1154800,67.435423
2012-10-25,72.68,72.800003,71.919998,72.360001,1092600,67.510063
2012-10-24,72.629997,72.730003,72.040001,72.160004,1250400,67.32347
2012-10-23,72.50,72.650002,71.949997,72.360001,2302400,67.510063
2012-10-22,73.190002,73.419998,72.730003,73.290001,1394100,68.377729
2012-10-19,74.349998,74.349998,73.110001,73.290001,1466500,68.377729
2012-10-18,74.57,74.870003,74.309998,74.580002,1156900,69.581268
2012-10-17,74.440002,74.790001,74.300003,74.730003,1265200,69.721216
2012-10-16,73.949997,74.410004,73.900002,74.379997,2616300,69.394669
2012-10-15,73.169998,73.68,72.940002,73.620003,948800,68.685613
2012-10-12,73.379997,73.580002,72.879997,73.019997,2111900,68.125822
2012-10-11,73.800003,73.879997,73.330002,73.339996,1405800,68.424374
2012-10-10,73.650002,73.709999,73.120003,73.230003,1264000,68.321753
2012-10-09,74.360001,74.410004,73.639999,73.660004,4611600,68.722933
2012-10-08,74.379997,74.529999,74.260002,74.410004,1128700,69.422664
2012-10-05,75.050003,75.25,74.470001,74.699997,1317400,69.69322
2012-10-04,74.410004,74.739998,74.309998,74.720001,1614500,69.711884
2012-10-03,74.059998,74.339996,73.669998,74.160004,1118800,69.18942
2012-10-02,74.089996,74.209999,73.550003,73.889999,2136000,68.937513
