date,open,high,close,low,volume,amount
2016-06-27,4.6,4.63,4.63,4.58,52252556.0,240798210.0
2016-06-24,4.65,4.68,4.6,4.53,81601515.0,376567103.0
2016-06-23,4.66,4.67,4.65,4.63,44948839.0,211626646.0
2016-06-22,4.63,4.68,4.68,4.63,46143165.0,217828103.0
2016-06-21,4.65,4.69,4.64,4.63,55290660.0,260688129.0
2016-06-20,4.65,4.66,4.64,4.61,41704931.0,195623642.0
2016-06-17,4.63,4.66,4.64,4.62,43786955.0,205862747.0
2016-06-16,4.65,4.67,4.63,4.61,61653224.0,289310897.0
2016-06-15,4.61,4.69,4.68,4.6,82485505.0,388599614.0
2016-06-14,4.65,4.68,4.66,4.64,47583966.0,224579630.0
2016-06-13,4.75,4.75,4.66,4.64,72021401.0,343498296.0
2016-06-08,4.75,4.81,4.79,4.74,109351872.0,529225886.0
2016-06-07,4.74,4.76,4.75,4.72,46149123.0,221371585.0
2016-06-06,4.75,4.76,4.74,4.72,42026298.0,201396637.0
2016-06-03,4.76,4.77,4.75,4.73,78448327.0,376818838.0
2016-06-02,4.76,4.77,4.77,4.72,50543644.0,242775297.0
2016-06-01,4.77,4.78,4.77,4.74,64482614.0,310628074.0
2016-05-31,4.68,4.78,4.77,4.67,130443949.0,627808781.0
2016-05-30,4.67,4.71,4.69,4.66,56734323.0,269110193.0
2016-05-27,4.68,4.69,4.68,4.65,35837639.0,169548212.0
2016-05-26,4.65,4.71,4.69,4.65,58177990.0,276166625.0
2016-05-25,4.62,4.66,4.65,4.62,61234533.0,288046549.0
2016-05-24,4.62,4.63,4.62,4.55,48986406.0,227405304.0
2016-05-23,4.63,4.66,4.64,4.61,37043194.0,173623800.0
2016-05-20,4.6,4.64,4.64,4.59,26549380.0,124235954.0
2016-05-19,4.63,4.65,4.62,4.59,46200225.0,216118669.0
2016-05-18,4.68,4.71,4.64,4.59,93595021.0,442395290.0
2016-05-17,4.63,4.71,4.7,4.62,101548724.0,480595832.0
2016-05-16,4.55,4.62,4.61,4.55,57459174.0,267678165.0
2016-05-13,4.56,4.63,4.58,4.54,84952862.0,394791832.0
2016-05-12,4.57,4.58,4.56,4.52,65711758.0,303097000.0
2016-05-11,4.6,4.63,4.58,4.56,55990687.0,260576798.0
2016-05-10,4.55,4.61,4.59,4.55,79341347.0,368542262.0
2016-05-09,4.65,4.66,4.58,4.51,141672782.0,656114113.0
2016-05-06,4.74,4.75,4.66,4.65,104040271.0,494173674.0
2016-05-05,4.76,4.76,4.74,4.71,105956896.0,507447459.0
2016-05-04,4.75,4.78,4.76,4.74,104330236.0,502432226.0
2016-05-03,4.79,4.88,4.79,4.73,251732045.0,1219079192.0
2016-04-29,4.87,4.89,4.81,4.79,102571293.0,501383004.0
2016-04-28,4.9,4.92,4.87,4.84,68812118.0,339836027.0
2016-04-27,4.87,4.9,4.86,4.85,89218473.0,440817855.0
2016-04-26,4.81,4.84,4.84,4.79,37618650.0,183464704.0
2016-04-25,4.82,4.82,4.82,4.76,50781529.0,246705395.0
2016-04-22,4.8,4.84,4.84,4.76,87413545.0,425417516.0
2016-04-21,4.75,4.9,4.84,4.73,175335812.0,856794525.0
2016-04-20,4.84,4.86,4.74,4.65,210873202.0,1011933744.0
2016-04-19,4.83,4.85,4.81,4.79,59315606.0,289026873.0
2016-04-18,4.88,4.88,4.8,4.77,160859192.0,783856292.0
2016-04-15,4.98,5.0,4.95,4.92,81792965.0,409982657.0
2016-04-14,5.01,5.06,4.98,4.96,104157304.0,527642383.0
2016-04-13,4.96,5.07,5.01,4.9,255351269.0,1295728983.0
2016-04-12,4.87,4.97,4.88,4.85,128570094.0,639586350.0
2016-04-11,4.86,5.0,4.88,4.85,186330881.0,931605949.0
2016-04-08,4.86,4.92,4.81,4.76,146184866.0,713246671.0
2016-04-07,4.93,4.99,4.89,4.85,204974111.0,1020993431.0
2016-04-06,4.8,5.02,4.92,4.79,339841172.0,1702667785.0
2016-04-05,4.79,4.89,4.82,4.76,230360151.0,1127731991.0
2016-04-01,4.69,4.88,4.84,4.68,319892742.0,1547192621.0
2016-03-31,4.68,4.76,4.7,4.64,231981828.0,1105397826.0
2016-03-30,4.52,4.79,4.67,4.52,425936053.0,2019017202.0
2016-03-29,4.49,4.51,4.48,4.45,83637765.0,380093565.0
2016-03-28,4.49,4.53,4.48,4.47,96941141.0,442840057.0
2016-03-25,4.48,4.5,4.48,4.44,86108856.0,389622923.0
2016-03-24,4.57,4.58,4.48,4.47,149101169.0,681295822.0
2016-03-23,4.62,4.62,4.6,4.58,71418277.0,332909670.0
2016-03-22,4.62,4.64,4.6,4.59,117041221.0,547288063.0
