date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-05-27,12.82,13.97,11.78,11.51,758575.75,-0.96,-7.54,12.77,13.181,14.409,1824873.58,2331665.04,2249219.38,35.08
2016-04-29,14.49,14.8,12.74,12.58,1258145.88,-1.85,-12.68,13.83,13.177,14.507,2103760.53,2489957.69,2278590.97,58.18
2016-03-31,12.2,16.25,14.59,12.05,3493913.25,1.89,14.88,14.622,13.444,14.477,2717731.35,2618056.58,2268380.15,161.56
2016-02-29,11.97,15.02,12.7,11.82,1816406.5,0.66,5.48,14.542,13.895,14.337,2718523.1,2667716.03,2146887.85,83.99
2016-01-29,17.0,17.2,12.04,10.7,1797326.5,-5.04,-29.51,14.048,14.831,14.244,2785599.0,2797843.18,2076036.94,83.17
2015-12-31,16.5,19.14,17.08,14.98,2153010.5,0.38,2.27,13.592,15.422,14.167,2838456.5,2944144.3,2022843.06,99.63
2015-11-30,13.76,22.17,16.7,13.61,4328000.0,2.51,17.69,12.524,15.263,13.9,2876154.85,2839528.19,1994765.51,199.53
2015-10-30,10.34,16.52,14.19,10.24,3497872.0,3.96,38.71,12.266,14.92,13.725,2518381.8,2484244.87,1939427.09,161.26
2015-09-30,9.61,11.13,10.23,8.07,2151786.0,0.47,4.82,13.248,14.758,13.65,2616908.95,2294563.39,1931984.5,99.2
2015-08-31,11.65,14.12,9.76,8.42,2061614.0,-1.98,-16.86,15.614,15.243,13.741,2810087.35,2260449.53,1879067.25,95.04
2015-07-31,15.01,16.14,11.74,9.22,2341502.25,-3.67,-23.82,17.252,15.637,13.848,3049832.1,2166773.72,1845887.7,107.95
2015-06-30,19.4,23.27,15.41,13.38,2539134.75,-3.69,-19.32,18.002,15.837,13.79,2802901.53,2067224.25,1845186.02,117.06
2015-05-29,22.2,22.33,19.1,13.68,3990507.75,-2.96,-13.42,17.574,15.509,13.57,2450107.94,1918703.73,1846399.81,183.97
