date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-05-27,8.67,8.85,7.39,7.19,2758144.0,-1.21,-14.07,7.96,8.544,8.537,4008058.0,6786677.0,13386898.33,20.38
2016-04-29,7.93,9.37,8.6,7.76,5725488.5,0.64,8.04,8.634,8.591,8.317,5038928.4,7976456.2,13724710.68,42.3
2016-03-31,8.0,8.3,7.96,7.17,4102362.0,-0.42,-5.01,8.986,8.84,8.018,5816828.7,8846554.15,13543762.1,30.31
2016-02-17,7.37,8.38,8.38,7.03,1910661.5,0.91,12.18,9.388,9.455,7.75,6909802.1,10858550.55,13494560.11,14.12
2016-01-29,10.99,10.99,7.47,6.69,5543634.0,-3.29,-30.58,9.18,10.019,7.461,7905081.8,13966171.2,13441257.6,40.96
2015-12-31,10.34,11.55,10.76,9.87,7912496.0,0.4,3.86,9.128,10.346,7.22,9565296.0,16918220.2,13290263.36,58.46
2015-11-30,9.47,11.38,10.36,8.84,9614990.0,0.39,3.91,8.548,10.116,6.82,10913984.0,19213421.4,13348383.51,71.03
2015-10-30,7.46,11.79,9.97,7.46,9567229.0,2.63,35.83,8.694,9.906,6.422,11876279.6,19763793.0,12945684.98,70.68
2015-09-30,7.1,7.65,7.34,6.0,6887060.0,0.13,1.8,9.522,9.319,6.055,14807299.0,19675133.3,12641143.13,50.88
2015-08-31,7.77,10.45,7.21,6.29,13844705.0,-0.65,-8.27,10.858,8.954,5.826,20027260.6,20659784.0,12439916.15,102.28
2015-07-31,10.9,11.54,7.86,6.74,14655936.0,-3.23,-29.12,11.564,8.529,5.6,24271144.4,19987119.65,11924387.37,108.27
2015-06-30,14.12,17.3,11.09,9.45,14426468.0,-3.02,-21.4,11.684,8.042,5.343,27512858.8,19472965.15,11418793.3,106.58
2015-05-29,13.89,16.5,14.11,12.48,24222326.0,0.09,0.64,11.118,7.195,4.922,27651306.4,18240970.05,10858901.48,178.95
2015-04-30,10.81,15.0,14.02,9.66,32986868.0,3.28,30.54,9.116,6.045,4.346,24542967.6,16130569.68,9752046.63,243.7
2015-03-31,8.45,11.97,10.74,8.36,35064124.0,2.28,26.95,7.05,4.902,3.769,21292307.4,12916343.99,8197332.22,259.05
2015-02-27,8.0,8.8,8.46,7.61,30864508.0,0.2,2.42,5.494,4.094,3.386,15703094.9,9662306.52,6579173.47,228.02
2015-01-30,4.51,10.65,8.26,4.51,15118706.0,4.16,101.46,4.4,3.523,3.131,11433071.5,7483345.62,5102499.3,111.69
2014-10-21,3.68,4.19,4.1,3.62,8680632.0,0.41,11.11,3.272,2.938,2.867,8830633.7,6127576.97,4427312.75,64.13
2014-09-30,2.97,3.87,3.69,2.95,16733567.0,0.73,24.66,2.974,2.79,2.825,7718171.75,5607152.97,4101978.98,123.62
2014-08-29,2.96,3.18,2.96,2.89,7118061.5,-0.03,-1.0,2.754,2.698,2.815,4540380.59,4220048.29,3411671.44,52.59
2014-07-31,2.63,3.01,2.99,2.61,9514391.0,0.37,14.12,2.694,2.671,2.807,3621518.14,3861655.09,3116204.35,70.29
2014-06-30,2.6,2.68,2.62,2.49,2106517.0,0.01,0.38,2.646,2.644,2.788,3533619.74,3364621.44,2673268.08,15.56
2014-05-30,2.61,2.83,2.61,2.59,3118322.25,0.02,0.77,2.604,2.649,2.803,3424520.24,3476832.92,2616622.78,23.04
2014-04-30,2.66,2.67,2.59,2.4,844611.19,-0.07,-2.63,2.606,2.646,2.817,3496134.19,3373523.59,2502284.39,6.24
2014-03-21,2.74,2.83,2.66,2.46,2523749.25,-0.09,-3.27,2.642,2.635,2.831,3899716.0,3478320.45,2510265.72,18.64
2014-02-28,2.4,3.25,2.75,2.38,9074899.0,0.34,14.11,2.648,2.678,2.847,4101792.05,3496040.43,2477094.14,67.04
2014-01-30,2.62,2.62,2.41,2.29,1561019.5,-0.21,-8.02,2.642,2.738,2.872,3195623.15,2721652.99,2112010.06,11.53
2013-12-31,2.73,2.89,2.62,2.56,3476392.0,-0.15,-5.42,2.694,2.796,2.907,3529145.6,2727048.54,2118873.27,25.68
2013-11-29,2.68,2.84,2.77,2.58,2862520.25,0.08,2.97,2.686,2.86,2.939,3250913.0,2596804.99,2087707.09,21.15
2013-10-31,2.74,3.04,2.69,2.56,3534129.5,-0.03,-1.1,2.628,2.931,2.945,3056924.9,2603294.59,2067152.56,26.11
2013-09-30,2.68,3.07,2.72,2.66,4544054.5,0.05,1.87,2.708,2.943,2.977,2890288.8,2370753.6,2019512.06,33.57
2013-08-30,2.57,2.86,2.67,2.56,3228631.75,0.09,3.49,2.834,2.931,2.985,2247682.82,1981914.71,1834526.27,23.85
2013-07-31,2.48,2.89,2.58,2.48,2085229.0,0.1,4.03,2.898,2.956,2.994,1924951.47,1756412.64,1718854.31,15.41
2013-06-28,3.08,3.12,2.48,2.36,1892579.75,-0.61,-19.74,3.034,2.988,3.028,1942696.97,1631045.18,1697569.58,13.98
2013-05-31,3.45,3.66,3.09,3.02,2700949.0,-0.26,-7.76,3.234,3.026,3.09,2149664.27,1542210.99,1698510.37,19.95
2013-04-22,2.99,3.38,3.35,2.99,1331024.62,0.36,12.04,3.178,3.016,3.111,1851218.4,1458147.85,1628421.86,9.83
2013-03-29,3.26,3.4,2.99,2.92,1614975.0,-0.27,-8.28,3.028,3.006,3.126,1716146.6,1502367.12,1657599.64,11.93
2013-02-28,3.4,3.56,3.26,3.13,2173956.5,-0.22,-6.32,3.014,3.018,3.178,1587873.81,1510698.0,1687825.38,16.06
2013-01-31,2.82,3.57,3.48,2.76,2927416.25,0.67,23.84,2.942,3.017,3.236,1319393.39,1578609.2,1654070.29,21.63
2012-12-31,2.59,2.89,2.81,2.54,1208719.62,0.21,8.08,2.818,2.959,3.285,934757.7,1531010.52,1618130.02,8.93
2012-11-30,2.9,2.96,2.6,2.54,655665.62,-0.32,-10.96,2.854,3.011,3.4,1065077.3,1668270.51,1855655.56,4.84
2012-10-31,2.9,3.14,2.92,2.85,973611.06,0.02,0.69,2.984,3.039,3.526,1288587.65,1687137.83,2064498.78,7.19
2012-09-28,2.86,3.04,2.9,2.76,831554.38,0.04,1.4,3.022,3.032,3.651,1433522.19,1681295.98,2114655.21,6.14
2012-08-31,3.0,3.12,2.86,2.82,1004237.81,-0.13,-4.35,3.092,3.067,3.746,1837825.01,1764093.98,2167095.04,7.42
2012-07-31,3.27,3.39,2.99,2.98,1860317.62,-0.26,-8.0,3.1,3.154,3.854,2127263.35,1854809.76,2356682.12,13.74
2012-06-29,3.12,3.3,3.25,2.9,1773217.38,0.14,4.5,3.168,3.206,3.984,2271463.73,1798695.88,2766866.54,13.1
2012-05-31,3.3,3.36,3.11,2.99,1698283.75,-0.14,-4.31,3.094,3.246,4.146,2085688.01,1812832.16,3078671.15,12.55
2012-04-27,2.91,3.54,3.25,2.88,2853068.5,0.35,12.07,3.042,3.338,4.258,1929069.77,1864952.76,3235050.46,21.08
2012-03-30,3.33,3.51,2.9,2.87,2451429.5,-0.43,-12.91,3.042,3.454,4.384,1690362.95,1729531.39,3612740.39,18.11
2012-02-29,2.88,3.56,3.33,2.82,2581319.5,0.45,15.62,3.208,3.61,4.493,1582356.17,1705249.51,3759639.36,19.07
2012-01-31,2.85,3.08,2.88,2.73,844338.81,0.03,1.05,3.244,3.789,4.534,1325928.02,2043040.61,3758016.31,6.24
2011-12-30,3.34,3.41,2.85,2.7,915192.56,-0.4,-12.31,3.398,4.012,4.653,1539976.31,2441859.73,3957048.5,6.76
2011-11-30,3.7,3.84,3.25,3.24,1659534.38,-0.48,-12.87,3.634,4.27,4.811,1800835.75,2548014.44,4459734.32,12.26
2011-10-31,3.51,3.91,3.73,3.39,1911395.62,0.22,6.27,3.866,4.425,5.257,1768699.82,2570096.1,4784407.07,14.12
2011-09-30,3.65,3.8,3.51,3.41,1299178.75,-0.14,-3.84,4.012,4.553,5.585,1828142.85,2858554.49,4840999.79,9.6
2011-08-31,4.03,4.08,3.65,3.34,1914580.25,-0.38,-9.43,4.334,4.761,5.81,2760153.2,3735037.21,4980650.53,14.14
2011-07-29,4.43,4.54,4.03,4.0,2219489.75,-0.38,-8.62,4.626,5.046,6.001,3343743.15,4344510.14,5059528.69,16.4
2011-06-30,4.44,4.52,4.41,4.19,1498854.75,-0.05,-1.12,4.906,5.177,6.16,3295193.12,4605148.16,5195521.16,11.07
2011-05-31,5.13,5.18,4.46,4.32,2208610.75,-0.66,-12.89,4.984,5.313,6.272,3371492.37,5495949.39,5225454.69,16.32
2011-04-29,5.15,5.85,5.12,4.98,5959230.5,0.01,0.2,5.094,5.376,6.335,3888966.12,5814029.21,5303545.01,44.03
2011-03-31,5.43,5.48,5.11,5.01,4832530.0,-0.32,-5.89,5.188,5.279,6.382,4709921.22,5472992.01,5163389.23,35.7
2011-02-28,4.79,5.72,5.43,4.71,1976739.62,0.63,13.12,5.466,5.294,6.497,5345277.12,5472237.26,5178099.43,14.6
2011-01-31,5.05,5.08,4.8,4.49,1880351.0,-0.21,-4.19,5.448,5.351,6.524,5915103.2,6371454.2,5247688.25,13.89
2010-12-31,5.59,5.78,5.01,4.83,4795979.5,-0.58,-10.38,5.642,6.088,6.595,7620406.4,6998718.05,5415113.7,37.72
2010-11-30,6.58,7.1,5.59,5.5,10064006.0,-0.91,-14.0,5.658,6.616,6.603,7739092.3,6823445.1,5364789.68,79.15
2010-10-29,5.38,6.98,6.5,5.38,8009309.5,1.16,21.72,5.37,6.859,6.588,6236062.8,6226263.85,5026839.03,74.74
2010-09-30,5.76,6.17,5.34,5.2,4825870.0,-0.43,-7.45,5.122,6.955,6.476,5599197.4,5774547.25,4842771.4,45.03
2010-08-31,5.09,6.3,5.77,4.96,10406867.0,0.68,13.36,5.254,7.143,6.429,6827805.2,5785894.15,4710018.0,97.12
2010-07-30,4.15,5.15,5.09,3.91,5389409.0,0.94,22.65,6.534,7.23,6.303,6377029.7,4954960.0,4319615.3,50.29
2010-06-30,5.26,5.41,4.15,4.07,2548858.5,-1.11,-21.1,7.574,7.294,6.202,5907797.9,4793060.8,4134062.65,23.79
2010-05-31,5.7,5.98,5.26,5.0,4824982.5,-0.74,-12.33,8.348,7.485,6.134,6216464.9,4853786.45,4045615.68,45.03
2010-04-29,12.35,14.13,6.0,5.87,10968909.0,-6.17,-50.7,8.788,7.7,6.073,5949897.1,4883961.6,3855888.15,102.36
2010-03-30,10.31,12.58,12.17,10.18,8152989.5,1.88,18.27,9.032,7.697,6.018,4743983.1,4123922.3,3351514.8,152.17
2010-02-26,7.77,10.38,10.29,7.77,3043250.0,2.27,28.3,7.926,7.102,5.803,3532890.3,3831509.35,3066697.88,56.8
2010-01-29,7.52,8.68,8.02,7.35,4092193.5,0.56,7.51,7.014,6.589,5.684,3678323.7,3906134.25,3002525.98,76.38
