date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-05-27 15:00:00,7.42,7.46,7.4,7.39,24740.3,-0.02,-0.27,7.398,7.374,7.4125,20670.2,20569.7,25109.7,0.18
2016-05-27 14:00:00,7.37,7.43,7.42,7.34,15895.1,0.05,0.68,7.382,7.379,7.4065,18693.3,21355.5,24790.8,0.12
2016-05-27 11:30:00,7.41,7.45,7.37,7.37,13200.1,-0.04,-0.54,7.356,7.383,7.4,18920.3,21503.6,24864.0,0.1
2016-05-27 10:30:00,7.42,7.46,7.41,7.38,23451.9,-0.01,-0.13,7.344,7.392,7.3955,22874.7,21908.7,25678.4,0.17
2016-05-26 15:00:00,7.32,7.4,7.39,7.3,26063.4,0.07,0.96,7.336,7.398,7.39,23224.0,21612.2,26467.8,0.19
2016-05-26 14:00:00,7.29,7.32,7.32,7.27,14855.8,0.03,0.41,7.35,7.407,7.389,20469.3,25503.1,26272.0,0.11
2016-05-26 11:30:00,7.31,7.33,7.29,7.27,17030.2,-0.02,-0.27,7.376,7.421,7.3935,24017.7,25760.5,27039.4,0.13
2016-05-26 10:30:00,7.35,7.42,7.31,7.27,32972.0,-0.04,-0.54,7.41,7.436,7.402,24086.9,25530.0,28219.7,0.24
2016-05-25 14:00:00,7.46,7.47,7.37,7.36,25198.4,-0.09,-1.21,7.44,7.453,7.405,20942.8,25219.8,28967.4,0.19
2016-05-25 11:30:00,7.46,7.48,7.46,7.43,12290.0,0.0,0.0,7.46,7.46,7.4075,20000.5,26777.8,28861.4,0.09
2016-05-25 10:30:00,7.55,7.57,7.45,7.45,32598.0,-0.1,-1.32,7.464,7.451,7.4065,30536.9,29649.6,29940.9,0.24
2016-05-24 15:00:00,7.46,7.49,7.46,7.43,17376.0,0.0,0.0,7.466,7.434,7.407,27503.3,28226.0,31621.9,0.13
2016-05-24 14:00:00,7.47,7.51,7.46,7.43,17251.5,-0.01,-0.13,7.462,7.417,7.42,26973.0,28224.5,32338.3,0.13
2016-05-24 11:30:00,7.49,7.51,7.47,7.42,20486.8,-0.02,-0.27,7.466,7.399,7.435,29496.9,29448.0,32434.3,0.15
2016-05-24 10:30:00,7.48,7.6,7.48,7.42,64972.4,0.0,0.0,7.46,7.382,7.446,33555.1,31323.3,33111.7,0.48
2016-05-23 15:00:00,7.44,7.49,7.46,7.42,17430.0,0.02,0.27,7.438,7.371,7.4585,28762.3,27040.8,31707.9,0.13
2016-05-23 14:00:00,7.49,7.5,7.44,7.44,14724.4,-0.05,-0.67,7.402,7.366,7.4765,28948.7,28318.2,33603.8,0.11
2016-05-23 11:30:00,7.45,7.53,7.48,7.45,29870.8,0.03,0.4,7.372,7.368,7.4915,29475.9,30909.4,33873.0,0.22
2016-05-23 10:30:00,7.38,7.5,7.44,7.38,40777.7,0.06,0.81,7.332,7.357,7.503,29399.2,32714.9,33654.2,0.3
2016-05-20 15:00:00,7.28,7.42,7.37,7.27,41008.4,0.09,1.24,7.304,7.355,7.5135,29091.6,30945.0,33772.2,0.3
2016-05-20 14:00:00,7.29,7.29,7.28,7.23,18362.2,-0.01,-0.14,7.304,7.362,7.53,25319.4,30232.2,33826.6,0.14
2016-05-20 11:30:00,7.28,7.33,7.29,7.26,17360.4,0.01,0.14,7.33,7.38,7.5525,27687.7,35017.7,34265.3,0.13
2016-05-20 10:30:00,7.26,7.31,7.28,7.19,29487.1,0.02,0.28,7.364,7.423,7.5785,32342.9,36452.2,34496.4,0.22
2016-05-19 15:00:00,7.39,7.39,7.3,7.26,39239.8,-0.09,-1.22,7.382,7.471,7.6075,36030.6,35420.5,34754.7,0.29
2016-05-19 14:00:00,7.42,7.43,7.37,7.36,22147.4,-0.05,-0.67,7.406,7.51,7.6335,32798.5,34900.1,34329.3,0.16
2016-05-19 11:30:00,7.46,7.49,7.41,7.41,30203.6,-0.05,-0.67,7.42,7.546,7.6555,35145.0,36374.9,34204.2,0.22
2016-05-19 10:30:00,7.39,7.47,7.46,7.38,40636.5,0.07,0.95,7.43,7.587,7.6745,42347.7,38889.3,33749.1,0.3
2016-05-18 15:00:00,7.42,7.44,7.37,7.29,47925.7,-0.05,-0.67,7.482,7.615,7.692,40561.6,36836.6,36662.7,0.35
2016-05-18 14:00:00,7.44,7.48,7.42,7.38,23079.2,-0.02,-0.27,7.56,7.649,7.719,34810.4,34593.5,36086.4,0.17
2016-05-18 11:30:00,7.46,7.53,7.44,7.4,33879.8,-0.02,-0.27,7.614,7.672,7.7495,37001.8,36599.4,36006.0,0.25
2016-05-18 10:30:00,7.68,7.68,7.46,7.44,66217.4,-0.22,-2.86,7.672,7.698,7.7805,37604.8,37421.1,35719.8,0.49
2016-05-17 15:00:00,7.76,7.83,7.72,7.72,31705.8,-0.04,-0.52,7.744,7.725,7.808,35430.9,33512.9,34273.9,0.23
2016-05-17 14:00:00,7.69,7.77,7.76,7.66,19169.8,0.07,0.91,7.748,7.734,7.8235,33111.7,32540.5,34831.0,0.14
2016-05-17 11:30:00,7.73,7.74,7.69,7.64,34036.1,-0.04,-0.52,7.738,7.744,7.8365,34376.5,34089.0,34618.0,0.25
2016-05-17 10:30:00,7.8,7.84,7.73,7.71,36895.0,-0.07,-0.9,7.73,7.757,7.8545,36197.0,33758.5,33993.5,0.27
2016-05-16 15:00:00,7.75,7.84,7.82,7.71,55347.9,0.07,0.9,7.724,7.765,7.8695,37237.3,32033.5,33998.7,0.41
2016-05-16 14:00:00,7.71,7.77,7.74,7.69,20109.8,0.03,0.39,7.706,7.762,7.878,31595.0,28609.0,34231.2,0.15
2016-05-16 11:30:00,7.66,7.75,7.71,7.64,25493.8,0.05,0.65,7.72,7.769,7.8925,31969.3,36488.8,35083.8,0.19
2016-05-16 10:30:00,7.6,7.71,7.65,7.59,43138.6,0.05,0.66,7.75,7.789,7.9095,33801.4,37579.2,35388.4,0.32
2016-05-13 15:00:00,7.73,7.77,7.7,7.66,42096.5,-0.03,-0.39,7.784,7.827,7.931,31320.1,35412.6,37626.0,0.31
2016-05-13 14:00:00,7.81,7.82,7.73,7.72,27136.1,-0.08,-1.02,7.806,7.863,7.959,26829.8,34018.6,39455.3,0.2
2016-05-13 11:30:00,7.86,7.87,7.81,7.78,21981.7,-0.05,-0.64,7.818,7.891,7.9865,25622.9,35034.9,41268.5,0.16
2016-05-13 10:30:00,7.84,7.9,7.86,7.82,34654.0,0.02,0.26,7.818,7.913,8.012,41008.2,37121.5,44432.1,0.26
2016-05-12 15:00:00,7.81,7.86,7.82,7.76,30732.0,0.01,0.13,7.828,7.929,8.0495,41357.1,35147.1,44682.6,0.23
2016-05-12 14:00:00,7.8,7.84,7.81,7.78,19645.0,0.01,0.13,7.87,7.952,8.09,39505.2,34228.5,45477.5,0.15
2016-05-12 11:30:00,7.81,7.81,7.79,7.74,21102.0,-0.02,-0.26,7.92,7.974,8.1295,41207.4,35963.8,45767.1,0.16
2016-05-12 10:30:00,7.77,7.81,7.81,7.64,98908.2,0.04,0.51,7.964,7.994,8.169,44446.8,39853.5,46822.0,0.73
2016-05-11 15:00:00,8.03,8.06,7.91,7.91,36398.4,-0.12,-1.49,8.008,8.016,8.2105,33234.7,33678.8,44006.4,0.27
2016-05-11 14:00:00,8.06,8.08,8.03,8.01,21472.4,-0.03,-0.37,8.03,8.03,8.25,28937.0,33197.6,44469.3,0.16
2016-05-11 11:30:00,8.0,8.06,8.06,7.97,28155.9,0.06,0.75,8.034,8.035,8.2875,28951.9,39839.4,44478.9,0.21
2016-05-11 10:30:00,8.08,8.1,8.01,7.98,37299.1,-0.07,-0.87,8.028,8.055,8.3195,30720.2,44892.0,45156.2,0.28
2016-05-10 15:00:00,8.02,8.08,8.03,7.98,42847.7,0.01,0.12,8.024,8.082,8.356,35260.2,47502.2,46332.9,0.32
