datetime,datetime,open,high,low,close,volume,amount
2011-01-03 00:00:00,2011-01-03 00:00:00,1418.65,1423.8,1412.8,1413.85,9.99999999999e+11,0.0
2011-01-04 00:00:00,2011-01-04 00:00:00,1415.2,1417.1,1374.65,1381.15,9.99999999999e+11,0.0
2011-01-05 00:00:00,2011-01-05 00:00:00,1381.6,1384.7,1363.85,1378.45,9.99999999999e+11,0.0
2011-01-06 00:00:00,2011-01-06 00:00:00,1377.35,1379.75,1364.55,1370.9,9.99999999999e+11,0.0
2011-01-07 00:00:00,2011-01-07 00:00:00,1371.3,1378.75,1352.7,1369.0,9.99999999999e+11,0.0
2011-01-10 00:00:00,2011-01-10 00:00:00,1370.1,1375.9,1365.4,1375.4,9.99999999999e+11,0.0
2011-01-11 00:00:00,2011-01-11 00:00:00,1374.4,1386.65,1372.65,1381.05,9.99999999999e+11,0.0
2011-01-12 00:00:00,2011-01-12 00:00:00,1381.3,1388.75,1376.55,1387.9,9.99999999999e+11,0.0
2011-01-13 00:00:00,2011-01-13 00:00:00,1386.0,1393.0,1369.45,1373.3,9.99999999999e+11,0.0
2011-01-14 00:00:00,2011-01-14 00:00:00,1372.75,1377.9,1354.9,1361.75,9.99999999999e+11,0.0
2011-01-17 00:00:00,2011-01-17 00:00:00,1361.45,1365.6,1357.1,1361.0,9.99999999999e+11,0.0
2011-01-18 00:00:00,2011-01-18 00:00:00,1361.0,1376.15,1360.2,1367.55,9.99999999999e+11,0.0
2011-01-19 00:00:00,2011-01-19 00:00:00,1366.75,1379.05,1365.6,1369.55,9.99999999999e+11,0.0
2011-01-20 00:00:00,2011-01-20 00:00:00,1367.75,1371.1,1343.15,1346.0,9.99999999999e+11,0.0
2011-01-21 00:00:00,2011-01-21 00:00:00,1347.15,1350.1,1337.65,1342.45,9.99999999999e+11,0.0
2011-01-24 00:00:00,2011-01-24 00:00:00,1349.2,1350.4,1332.4,1333.8,9.99999999999e+11,0.0
2011-01-25 00:00:00,2011-01-25 00:00:00,1335.15,1338.4,1322.55,1331.9,9.99999999999e+11,0.0
2011-01-26 00:00:00,2011-01-26 00:00:00,1332.4,1346.6,1324.9,1345.85,9.99999999999e+11,0.0
